"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"MAS4CHICKEN - no estocastico.nlogo"
"experimento-no-estocastico 2"
"10/19/2024 09:55:24:400 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","48"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12"
"Intervalo-Pausa","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"Umbral-tiempo-espera","20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",
"Cocineros","7",,"7",,"7",,"8",,"8",,"8",,"9",,"9",,"9",,"10",,"10",,"10",
"Meseros","8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",
"Tiempo-preparacion","20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",
"Version-Web","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"Intervalo-Clientes","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"Recurso-URL","",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",
"Feriado-Fin-de-Semana","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"[total steps]","0","0","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800","28800"

"[final value]","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time","[step]","get-waiting-time"
,"0","21.970138888888886","28800","19.62986111111111","28800","20.19375","28800","20.748611111111114","28800","19.696875","28800","19.200694444444444","28800","19.561458333333334","28800","20.88715277777778","28800","19.19826388888889","28800","19.711458333333333","28800","19.995833333333334","28800","20.313888888888886"
